Player,Nation,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Position
Gvidas Gineitis,LTU,Torino,19,2004,14,538,38,15.7,6.0,4,85,2,10,20,15,1.50,6,8,-2,-0.33,-0.40,5.4,8.0,-2.6,-0.43,-0.52,MF
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Francesco Gioielli,ITA,Napoli,19,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,MF
Olivier Giroud,FRA,Milan,36,1986,35,2363,68,69.1,26.3,28,77,10,7,28,1,1.89,58,28,+30,+1.14,+1.40,47.0,29.1,+18.0,+0.68,+0.45,FW
Saba Goglichidze,GEO,Empoli,19,2004,0,,,,,0,,0,0,,16,,,,,,,,,,,,DF
Edoardo Goldaniga,ITA,Cagliari,29,1993,13,1011,78,29.6,11.2,12,83,7,1,19,8,1.08,14,17,-3,-0.27,+0.59,13.7,15.3,-1.5,-0.14,+0.24,DF
Lovro Golič,SVN,Roma,17,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,DF
Pierluigi Gollini,ITA,Napoli,28,1995,7,630,90,18.4,7.0,7,90,7,0,,22,1.43,6,8,-2,-0.29,-0.58,8.1,6.0,+2.2,+0.31,-0.37,GK
Papu Gómez,ARG,Monza,35,1988,2,41,21,1.2,0.5,0,,0,2,21,0,3.00,1,0,+1,+2.20,+2.54,2.0,0.9,+1.1,+2.37,+2.85,MF
Iron Gomis,FRA,Salernitana,23,1999,5,134,27,3.9,1.5,1,45,0,4,22,7,0.40,0,4,-4,-2.69,-1.45,1.9,3.4,-1.6,-1.05,+0.11,MF
Diego González,PAR,Lazio,20,2003,0,,,,,0,,0,0,,6,,,,,,,,,,,,FW
Joan Gonzàlez,ESP,Lecce,21,2002,29,1291,45,37.7,14.3,13,70,4,16,24,8,0.97,15,23,-8,-0.56,+0.03,18.6,19.6,-1.1,-0.08,+0.31,MF
Nicolás González,ARG,Fiorentina,25,1998,29,1913,66,55.9,21.3,21,80,13,8,29,1,1.41,36,28,+8,+0.38,-0.04,29.8,23.7,+6.1,+0.29,+0.44,FW
Stefano Gori,ITA,Monza,27,1996,0,,,,,0,,0,0,,37,,,,,,,,,,,,GK
Alberto Grassi,ITA,Empoli,28,1995,27,1807,67,52.8,20.1,22,77,9,5,22,5,1.00,15,28,-13,-0.65,+0.02,19.2,22.9,-3.7,-0.18,+0.55,MF
Salvati Gregorio,ITA,Salernitana,18,2005,0,,,,,0,,0,0,,13,,,,,,,,,,,,GK
Gabriele Guarino,ITA,Empoli,19,2004,0,,,,,0,,0,0,,13,,,,,,,,,,,,DF
Niccolò Guccione,ITA,Salernitana,17,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,DF
Mattéo Guendouzi,FRA,Lazio,24,1999,33,2367,72,69.2,26.3,27,83,17,6,22,0,1.67,34,28,+6,+0.23,-0.11,32.2,30.7,+1.5,+0.06,-0.20,MF
Tomasso Guercio,POL,Inter,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,DF
Axel Guessand,FRA,Udinese,18,2004,1,45,45,1.3,0.5,0,,0,1,45,12,1.00,0,0,0,0.00,+0.43,0.4,0.8,-0.4,-0.81,-0.55,DF
Albert Guðmundsson,ISL,Genoa,26,1997,35,3016,86,88.2,33.5,34,88,26,1,24,0,1.34,40,37,+3,+0.09,+0.76,31.9,35.9,-4.0,-0.12,+0.58,FW
Emmanuel Gyasi,GHA,Empoli,29,1994,33,1879,57,54.9,20.9,21,80,13,12,16,4,0.97,17,25,-8,-0.38,+0.61,19.0,26.5,-7.5,-0.36,+0.18,DF
Norbert Gyömbér,SVK,Salernitana,31,1992,22,1760,80,51.5,19.6,20,82,14,2,58,3,0.55,16,41,-25,-1.28,+0.02,14.9,34.7,-19.8,-1.01,+0.30,DF
Nicolas Haas,SUI,Empoli,27,1996,1,90,90,2.6,1.0,1,90,1,0,,1,0.00,0,2,-2,-2.00,-1.38,1.0,2.0,-1.0,-1.02,-0.60,MF
Hamza Haoudi,ITA,Frosinone,22,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,MF
Ridgeciano Haps,SUR,Genoa,30,1993,16,773,48,22.6,8.6,7,85,2,9,20,13,1.06,7,9,-2,-0.23,-0.30,9.6,7.1,+2.4,+0.28,+0.61,DF
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Abdou Harroui,NED,Frosinone,25,1998,18,1019,57,29.8,11.3,13,70,0,5,22,2,0.67,15,29,-14,-1.24,-0.82,13.8,18.4,-4.5,-0.40,-0.12,MF
Luis Hasa,ITA,Juventus,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,MF
Hans Hateboer,NED,Atalanta,29,1994,23,1113,48,32.5,12.4,10,77,7,13,26,7,1.83,24,16,+8,+0.65,-0.21,18.2,15.7,+2.5,+0.20,-0.35,DF
Pantelis Hatzidiakos,GRE,Cagliari,26,1997,13,856,66,25.0,9.5,13,66,2,0,,17,0.54,6,19,-13,-1.37,-0.91,9.9,12.6,-2.6,-0.28,+0.04,DF
Silvan Hefti,SUI,Genoa,25,1997,6,114,19,3.3,1.3,1,58,0,5,11,11,0.50,1,8,-7,-5.53,-5.72,0.8,2.3,-1.5,-1.21,-1.06,MF
Liam Henderson,SCO,Empoli,27,1996,1,5,5,0.1,0.1,0,,0,1,5,0,0.00,0,0,0,0.00,+0.66,0.0,0.1,-0.1,-1.71,-1.28,MF
Matheus Henrique,BRA,Sassuolo,25,1997,31,2501,81,73.1,27.8,27,89,22,4,26,0,0.84,28,55,-27,-0.97,-0.48,27.1,45.1,-17.9,-0.65,-0.27,MF
Thomas Henry,FRA,Hellas Verona,28,1994,18,334,19,9.8,3.7,2,56,0,16,14,8,0.89,3,2,+1,+0.27,+0.68,4.3,5.1,-0.9,-0.23,+0.05,FW
Theo Hernández,FRA,Milan,25,1997,32,2791,87,81.6,31.0,31,89,26,1,23,0,2.13,70,42,+28,+0.90,+1.05,56.7,36.7,+20.0,+0.64,+0.53,DF
Isak Hien,SWE,Hellas Verona,24,1999,10,864,86,25.3,9.6,9,89,8,1,61,0,0.80,7,11,-4,-0.42,-0.10,9.2,9.1,0.0,0.00,+0.38,DF
Isak Hien,SWE,Atalanta,24,1999,16,937,59,27.4,10.4,9,90,9,7,18,1,1.94,22,11,+11,+1.06,+0.37,17.9,11.5,+6.5,+0.62,+0.25,DF
Emil Holm,SWE,Atalanta,23,2000,22,947,43,27.7,10.5,12,63,2,10,19,8,1.86,23,12,+11,+1.05,+0.35,18.8,11.2,+7.6,+0.72,+0.39,DF
Martin Hongla,CMR,Hellas Verona,25,1998,15,1084,72,31.7,12.0,12,83,9,3,28,4,0.80,8,12,-4,-0.33,+0.01,10.7,13.6,-2.9,-0.24,+0.06,MF
Sydney van Hooijdonk,NED,Bologna,23,2000,9,212,24,6.2,2.4,2,67,0,7,11,10,1.00,2,2,0,0.00,-0.62,2.3,2.5,-0.2,-0.07,-0.37,FW
Dean Huijsen,ESP,Roma,18,2005,13,509,39,14.9,5.7,4,69,2,9,26,7,2.08,9,10,-1,-0.18,-0.80,5.6,7.1,-1.5,-0.26,-0.60,DF
Dean Huijsen,ESP,Juventus,18,2005,1,13,13,0.4,0.1,0,,0,1,13,14,3.00,0,0,0,0.00,-0.61,0.6,0.0,+0.6,+4.11,+3.47,DF
Elseid Hysaj,ALB,Lazio,29,1994,22,1199,55,35.1,13.3,11,78,7,11,31,15,1.64,20,21,-1,-0.08,-0.52,15.6,17.7,-2.1,-0.16,-0.42,DF
Arijon Ibrahimović,GER,Frosinone,17,2005,16,474,30,13.9,5.3,5,70,0,11,11,15,0.75,4,7,-3,-0.57,+0.10,5.8,7.4,-1.7,-0.31,0.00,FW
Hubert Idasiak,POL,Napoli,21,2002,0,,,,,0,,0,0,,17,,,,,,,,,,,,GK
Antonio Iervolino,ITA,Salernitana,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,MF
Jonathan Ikone,FRA,Fiorentina,25,1998,28,1682,60,49.2,18.7,18,80,7,10,25,4,1.57,26,18,+8,+0.43,+0.07,26.4,24.1,+2.3,+0.12,+0.06,FW
Chukwubuikem Ikwuemesi,NGA,Salernitana,21,2001,25,1061,42,31.0,11.8,11,71,2,14,20,6,0.56,11,26,-15,-1.27,+0.02,11.8,24.3,-12.5,-1.06,+0.14,FW
Ivan Ilić,SRB,Torino,22,2001,31,2098,68,61.3,23.3,25,81,16,6,14,1,1.26,23,23,0,0.00,0.00,23.8,24.0,-0.2,-0.01,-0.04,MF
Mihajlo Ilić,SRB,Bologna,20,2003,0,,,,,0,,0,0,,18,,,,,,,,,,,,DF
Samuel Iling-Junior,ENG,Juventus,19,2003,24,810,34,23.7,9.0,4,84,2,20,24,14,1.75,18,10,+8,+0.89,+0.37,12.8,8.1,+4.7,+0.52,-0.17,DF
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Emirhan İlkhan,TUR,Torino,19,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,MF
Ciro Immobile,ITA,Lazio,33,1990,31,1652,53,48.3,18.4,21,69,5,10,20,1,1.42,22,24,-2,-0.11,-0.72,23.7,23.4,+0.3,+0.02,-0.20,FW
Gabriele Indragoli,ITA,Empoli,19,2004,0,,,,,0,,0,0,,6,,,,,,,,,,,,DF
Gino Infantino,ARG,Fiorentina,20,2003,6,96,16,2.8,1.1,0,,0,6,16,32,2.17,2,2,0,0.00,-0.41,1.8,2.0,-0.1,-0.11,-0.21,MF
Gustav Isaksen,DEN,Lazio,22,2001,28,1074,38,31.4,11.9,12,62,0,16,21,8,1.61,17,13,+4,+0.34,+0.11,14.2,13.9,+0.2,+0.02,-0.15,FW
Ardian Ismajli,ALB,Empoli,26,1996,26,2045,79,59.8,22.7,23,85,20,3,27,3,0.92,21,30,-9,-0.40,+0.65,24.0,26.3,-2.3,-0.10,+0.84,DF
Armando Izzo,ITA,Monza,31,1992,23,1650,72,48.2,18.3,20,81,13,3,8,4,1.13,17,25,-8,-0.44,-0.23,18.4,25.0,-6.6,-0.36,+0.16,DF
Filip Jagiełło,POL,Genoa,25,1997,2,33,17,1.0,0.4,0,,0,2,17,13,1.50,0,0,0,0.00,0.00,0.1,0.6,-0.5,-1.41,-1.24,MF
Jakub Jankto,CZE,Cagliari,27,1996,18,872,48,25.5,9.7,13,61,0,5,16,11,1.22,11,18,-7,-0.72,-0.05,10.4,13.1,-2.8,-0.28,+0.03,MF
Juan Jesus,BRA,Napoli,32,1991,24,2116,88,61.9,23.5,23,90,20,1,52,6,1.33,27,29,-2,-0.09,-0.71,36.6,23.5,+13.2,+0.56,-0.12,DF
Alejandro Jiménez,ESP,Milan,18,2005,3,68,23,2.0,0.8,0,,0,3,23,13,3.00,1,0,+1,+1.32,+0.63,0.6,0.8,-0.2,-0.26,-0.82,DF
Þórir Jóhann Helgason,ISL,Lecce,22,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,MF
Samuel John Nwachukwu,NGA,Udinese,17,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,DF
Kaio Jorge,BRA,Frosinone,21,2002,20,812,41,23.7,9.0,8,78,2,12,15,11,0.60,13,20,-7,-0.78,-0.15,13.1,13.2,-0.1,-0.01,+0.40,FW
Joselito,ESP,Hellas Verona,19,2004,0,,,,,0,,0,0,,7,,,,,,,,,,,,MF
Luka Jović,SRB,Fiorentina,25,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,FW
Luka Jović,SRB,Milan,25,1997,23,877,38,25.6,9.7,8,75,2,15,18,7,1.70,16,16,0,0.00,-0.96,16.5,11.6,+4.9,+0.50,-0.06,FW
Hamed Junior Traorè,CIV,Napoli,23,2000,9,382,42,11.2,4.2,5,62,0,4,18,8,1.22,8,6,+2,+0.47,+0.32,7.3,3.9,+3.5,+0.82,+0.24,MF
Mohamed Kaba,FRA,Lecce,21,2001,23,1378,60,40.3,15.3,15,77,6,8,27,1,1.00,13,23,-10,-0.65,-0.12,17.2,22.0,-4.8,-0.31,-0.07,MF
Christian Kabasele,BEL,Udinese,32,1991,13,861,66,25.2,9.6,10,85,9,3,5,22,1.00,9,18,-9,-0.94,-0.69,11.6,15.5,-3.9,-0.40,-0.19,DF
Uroš Kabić,SRB,Torino,19,2004,0,,,,,0,,0,0,,14,,,,,,,,,,,,MF
Yayah Kallon,SLE,Hellas Verona,22,2001,1,4,4,0.1,0.0,0,,0,1,4,6,0.00,0,1,-1,-22.50,-22.18,0.8,1.0,-0.2,-4.84,-4.56,FW
Pierre Kalulu,FRA,Milan,23,2000,9,374,42,10.9,4.2,4,61,2,5,26,4,1.89,7,7,0,0.00,-0.80,7.6,4.7,+2.9,+0.70,+0.17,DF
Daichi Kamada,JPN,Lazio,26,1996,29,1544,53,45.1,17.2,17,75,6,12,23,9,1.69,19,14,+5,+0.29,+0.05,21.6,17.3,+4.2,+0.25,+0.23,MF
Hassane Kamara,CIV,Udinese,29,1994,35,2225,64,65.1,24.7,27,76,4,8,20,2,0.94,24,30,-6,-0.24,+0.51,24.4,27.8,-3.4,-0.14,+0.36,DF
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Issiaka Kamate,FRA,Inter,18,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,MF
Dimitrije Kamenović,SRB,Lazio,23,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,DF
Matjaž Kamenšek Pahič,SVN,Frosinone,19,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,MF
Yann Karamoh,FRA,Torino,25,1998,10,162,16,4.7,1.8,1,45,0,9,13,8,1.40,3,2,+1,+0.56,+0.58,2.2,2.2,0.0,+0.03,+0.02,MF
Jesper Karlsson,SWE,Bologna,25,1998,7,344,49,10.1,3.8,4,71,0,3,20,19,1.43,1,2,-1,-0.26,-0.93,2.8,4.3,-1.5,-0.40,-0.76,FW
Rick Karsdorp,NED,Roma,28,1995,18,1191,66,34.8,13.2,14,76,4,4,31,16,2.06,22,11,+11,+0.83,+0.51,20.1,10.9,+9.1,+0.68,+0.66,DF
Grigoris Kastanos,CYP,Salernitana,25,1998,26,1480,57,43.3,16.4,18,73,3,8,20,3,0.54,12,31,-19,-1.16,+0.24,12.3,31.9,-19.6,-1.19,-0.05,MF
Michael Kayode,ITA,Fiorentina,19,2004,26,2058,79,60.2,22.9,22,85,14,4,45,8,1.88,39,20,+19,+0.83,+1.10,32.5,23.0,+9.5,+0.42,+0.81,DF
Moise Kean,ITA,Juventus,23,2000,19,654,34,19.1,7.3,8,66,0,11,11,4,1.95,6,4,+2,+0.28,-0.41,9.0,5.3,+3.6,+0.50,-0.18,FW
Simon Kjær,DEN,Milan,34,1989,20,1171,59,34.2,13.0,14,79,7,6,11,5,2.30,23,17,+6,+0.46,-0.38,22.1,16.3,+5.8,+0.44,-0.16,DF
Davy Klaassen,NED,Inter,30,1993,13,206,16,6.0,2.3,1,53,0,12,13,23,2.38,6,0,+6,+2.62,+0.91,4.9,1.7,+3.2,+1.39,+0.16,MF
Aleksandr Kokorin,RUS,Fiorentina,32,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,,FW
Sead Kolašinac,BIH,Atalanta,30,1993,30,2178,73,63.7,24.2,25,83,16,5,23,2,1.77,45,23,+22,+0.91,+0.33,34.0,26.1,+7.8,+0.32,-0.32,DF
Teun Koopmeiners,NED,Atalanta,25,1998,34,2627,77,76.8,29.2,29,85,19,5,33,0,1.68,55,34,+21,+0.72,-0.30,44.5,32.3,+12.2,+0.42,-0.09,MF
Filip Kostić,SRB,Juventus,30,1992,29,1815,63,53.1,20.2,26,67,3,3,24,8,2.10,26,15,+11,+0.55,-0.13,28.7,13.5,+15.1,+0.75,+0.22,DF
Christian Kouamé,CIV,Fiorentina,25,1997,23,1089,47,31.8,12.1,11,74,4,12,23,4,1.74,20,10,+10,+0.83,+0.63,17.1,15.4,+1.7,+0.14,+0.07,FW
Christos Kourfalidis,GRE,Cagliari,20,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,MF
Viktor Kovalenko,UKR,Empoli,27,1996,17,613,36,17.9,6.8,4,78,0,13,23,14,0.82,9,9,0,0.00,+0.80,8.5,11.8,-3.3,-0.48,-0.05,MF
Rasmus Kristensen,DEN,Roma,26,1997,29,1744,60,51.0,19.4,19,80,12,10,22,6,1.79,30,28,+2,+0.10,-0.81,25.2,23.6,+1.6,+0.08,-0.34,DF
Thomas Kristensen,DEN,Udinese,21,2002,26,2096,81,61.3,23.3,23,87,20,3,29,6,0.88,23,34,-11,-0.47,-0.13,20.8,29.0,-8.2,-0.35,-0.22,DF
Nikola Krstović,MNE,Lecce,23,2000,35,2373,68,69.4,26.4,30,76,10,5,18,1,0.91,21,35,-14,-0.53,+0.16,29.2,34.6,-5.5,-0.21,+0.20,FW
Rade Krunić,BIH,Milan,29,1993,10,687,69,20.1,7.6,8,81,6,2,19,5,1.70,14,12,+2,+0.26,-0.56,10.6,10.8,-0.3,-0.03,-0.73,MF
Marash Kumbulla,ALB,Sassuolo,23,2000,7,362,52,10.6,4.0,3,82,2,4,29,9,1.00,3,10,-7,-1.74,-1.00,2.4,8.2,-5.7,-1.43,-0.96,DF
Justin Kumi,ITA,Sassuolo,19,2004,1,4,4,0.1,0.0,0,,0,1,4,0,0.00,0,0,0,0.00,+0.84,0.0,0.1,-0.1,-1.58,-1.01,FW
Berkan Kutlu,TUR,Genoa,25,1998,6,199,33,5.8,2.2,0,,0,6,33,10,1.33,3,4,-1,-0.45,-0.48,2.2,3.2,-1.0,-0.47,-0.30,MF
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Khvicha Kvaratskhelia,GEO,Napoli,22,2001,34,2737,81,80.0,30.4,32,83,14,2,34,0,1.41,46,40,+6,+0.20,+0.07,49.9,33.2,+16.6,+0.55,-0.29,FW
Giorgi Kvernadze,GEO,Frosinone,20,2003,5,63,13,1.8,0.7,0,,0,5,13,30,0.20,0,3,-3,-4.29,-3.70,0.3,1.7,-1.3,-1.89,-1.61,FW
Giorgos Kyriakopoulos,GRE,Monza,27,1996,28,1712,61,50.1,19.0,20,76,8,8,24,10,0.96,18,25,-7,-0.37,-0.10,17.7,27.7,-10.0,-0.53,-0.17,DF
Eugenio Lamanna,ITA,Monza,33,1989,0,,,,,0,,0,0,,14,,,,,,,,,,,,GK
Gianluca Lapadula,PER,Cagliari,33,1990,23,1205,52,35.2,13.4,14,73,6,9,20,5,0.83,17,24,-7,-0.52,+0.25,15.0,19.1,-4.2,-0.31,-0.01,FW
Armand Lauriente,FRA,Sassuolo,24,1998,37,2908,79,85.0,32.3,35,82,15,2,18,0,0.81,37,55,-18,-0.56,+1.90,34.7,48.5,-13.9,-0.43,+0.97,FW
Valentino Lazaro,AUT,Torino,27,1996,35,1994,57,58.3,22.2,21,84,12,14,16,2,1.37,19,22,-3,-0.14,-0.32,21.4,22.2,-0.8,-0.04,-0.10,DF
Darko Lazović,SRB,Hellas Verona,32,1990,32,1928,60,56.4,21.4,22,72,1,10,34,0,0.91,21,28,-7,-0.33,+0.04,25.1,28.8,-3.7,-0.17,+0.25,FW
Manuel Lazzari,ITA,Lazio,29,1993,24,1671,70,48.9,18.6,19,80,11,5,32,10,1.54,23,15,+8,+0.43,+0.33,25.3,19.7,+5.6,+0.30,+0.35,DF
Nicola Leali,ITA,Genoa,30,1993,3,176,59,5.1,2.0,2,88,1,1,1,34,1.00,2,2,0,0.00,0.00,2.0,2.0,0.0,-0.02,+0.18,GK
Rafael Leão,POR,Milan,24,1999,34,2512,74,73.5,27.9,29,80,15,5,37,0,1.94,56,31,+25,+0.90,+0.70,51.7,31.1,+20.6,+0.74,+0.72,FW
Mats Lemmens,BEL,Lecce,21,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,DF
Anderson Lima,BRA,Lazio,23,1999,0,,,,,0,,0,0,,7,,,,,,,,,,,,MF
Jesper Lindstrøm,DEN,Napoli,23,2000,22,430,20,12.6,4.8,2,69,0,20,15,11,1.32,9,7,+2,+0.42,+0.27,8.7,4.2,+4.5,+0.94,+0.38,FW
Karol Linetty,POL,Torino,28,1995,28,1858,66,54.3,20.6,19,83,9,9,32,5,1.50,18,17,+1,+0.05,+0.11,21.1,19.6,+1.5,+0.07,+0.14,MF
Luca Lipani,ITA,Sassuolo,18,2005,8,384,48,11.2,4.3,5,68,0,3,14,23,0.63,5,5,0,0.00,+0.95,4.4,6.1,-1.7,-0.40,+0.20,MF
Pol Lirola,ESP,Frosinone,25,1997,25,1536,61,44.9,17.1,18,74,7,7,29,2,0.84,18,29,-11,-0.64,+0.02,21.8,26.3,-4.5,-0.26,+0.09,DF
Marcin Listkowski,POL,Lecce,25,1998,1,8,8,0.2,0.1,0,,0,1,8,13,0.00,0,0,0,0.00,+0.58,0.2,0.0,+0.2,+2.22,+2.50,FW
Diego Llorente,ESP,Roma,29,1993,29,2170,75,63.5,24.1,27,78,20,2,32,5,1.69,43,28,+15,+0.62,+0.33,34.0,23.5,+10.5,+0.44,+0.51,DF
Stanislav Lobotka,SVK,Napoli,28,1994,38,3282,86,96.0,36.5,38,86,25,0,,0,1.39,50,44,+6,+0.16,-0.49,58.9,35.5,+23.3,+0.64,+0.85,MF
Manuel Locatelli,ITA,Juventus,25,1998,36,3008,84,88.0,33.4,34,87,29,2,17,1,1.81,46,28,+18,+0.54,-0.55,48.5,26.8,+21.7,+0.65,+0.02,MF
Seb Loeffen,NED,Sassuolo,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,DF
Ruben Loftus-Cheek,ENG,Milan,27,1996,29,2068,71,60.5,23.0,26,76,11,3,27,2,2.14,43,28,+15,+0.65,-0.15,38.4,27.5,+10.9,+0.48,-0.18,MF
Ademola Lookman,NGA,Atalanta,25,1997,31,1894,61,55.4,21.0,22,73,4,9,32,1,1.61,33,26,+7,+0.33,-1.02,27.6,21.1,+6.5,+0.31,-0.29,FW
Maxime Lopez,FRA,Fiorentina,25,1997,19,800,42,23.4,8.9,7,75,2,12,23,15,1.47,9,10,-1,-0.11,-0.66,11.2,14.5,-3.3,-0.38,-0.61,MF
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Maxime Lopez,FRA,Sassuolo,25,1997,2,140,70,4.1,1.6,2,70,1,0,,0,0.00,0,3,-3,-1.93,-1.13,0.5,3.0,-2.4,-1.56,-1.03,MF
Matteo Lovato,ITA,Torino,23,2000,13,544,42,15.9,6.0,6,76,4,7,13,2,1.38,6,7,-1,-0.17,-0.20,6.6,5.9,+0.7,+0.12,+0.14,DF
Matteo Lovato,ITA,Salernitana,23,2000,13,947,73,27.7,10.5,11,80,7,2,32,9,0.46,8,21,-13,-1.24,+0.07,7.6,18.7,-11.1,-1.05,+0.15,DF
Sandi Lovrić,SVN,Udinese,25,1998,29,1987,69,58.1,22.1,21,85,11,8,24,0,0.90,22,34,-12,-0.54,-0.29,20.9,30.1,-9.2,-0.42,-0.37,MF
Hirving Lozano,MEX,Napoli,28,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,FW
Lorenzo Lucca,ITA,Udinese,22,2000,37,2592,70,75.8,28.8,30,80,13,7,26,0,1.00,28,38,-10,-0.35,+0.30,29.9,35.4,-5.5,-0.19,+0.30,FW
Jhon Lucumí,COL,Bologna,25,1998,29,2217,76,64.8,24.6,23,89,22,6,29,4,1.62,31,18,+13,+0.53,-0.15,31.9,21.7,+10.3,+0.42,+0.37,DF
José Luis Palomino,ARG,Atalanta,33,1990,4,27,7,0.8,0.3,0,,0,4,7,9,2.50,0,0,0,0.00,-0.80,0.4,0.3,+0.1,+0.20,-0.24,DF
Romelu Lukaku,BEL,Roma,30,1993,32,2641,83,77.2,29.3,30,87,23,2,23,0,1.91,52,30,+22,+0.75,+1.10,38.2,31.0,+7.2,+0.25,-0.02,FW
Karlo Lulić,CRO,Frosinone,27,1996,1,19,19,0.6,0.2,0,,0,1,19,13,1.00,0,0,0,0.00,+0.66,0.1,0.6,-0.5,-2.35,-2.05,MF
Sebastiano Luperto,ITA,Empoli,26,1996,38,3406,90,99.6,37.8,38,90,37,0,,0,0.95,29,53,-24,-0.63,+5.79,36.0,52.6,-16.6,-0.44,-0.04,DF
Mateus Lusuardi,BRA,Frosinone,19,2004,4,219,55,6.4,2.4,3,73,1,1,1,20,0.25,3,8,-5,-2.05,-1.49,1.8,4.3,-2.4,-1.00,-0.73,DF
Zito Luvumbo,ANG,Cagliari,21,2002,30,1946,65,56.9,21.6,19,79,10,11,40,1,0.97,23,34,-11,-0.51,+0.41,25.6,29.5,-3.9,-0.18,+0.29,FW
Charalambos Lykogiannis,GRE,Bologna,29,1993,22,904,41,26.4,10.0,10,74,3,12,14,15,1.73,16,11,+5,+0.50,-0.11,13.1,9.5,+3.6,+0.35,+0.09,DF
Daniel Macej,,Frosinone,19,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,DF
Giulio Maggiore,ITA,Salernitana,25,1998,27,1800,67,52.6,20.0,20,78,8,7,35,3,0.52,22,36,-14,-0.70,+1.24,16.0,36.8,-20.9,-1.04,+0.25,MF
Giangiacomo Magnani,ITA,Hellas Verona,27,1995,33,2444,74,71.5,27.2,27,87,24,6,16,2,1.00,22,34,-12,-0.44,-0.35,24.9,35.5,-10.6,-0.39,-0.39,DF
Mike Maignan,FRA,Milan,28,1995,29,2609,90,76.3,29.0,29,90,28,0,,2,2.14,57,34,+23,+0.79,+0.35,48.7,34.7,+14.0,+0.48,-0.27,GK
Antoine Makoumbou,CGO,Cagliari,25,1998,32,2702,84,79.0,30.0,32,84,25,0,,1,0.91,34,54,-20,-0.67,+0.09,32.7,43.8,-11.1,-0.37,-0.31,MF
Daniel Maldini,ITA,Monza,21,2001,11,333,30,9.7,3.7,2,59,0,9,24,4,1.27,10,8,+2,+0.54,+0.95,5.0,5.0,0.0,+0.01,+0.49,MF
Daniel Maldini,ITA,Empoli,21,2001,7,263,38,7.7,2.9,3,66,0,4,16,4,0.71,2,5,-3,-1.03,-0.40,1.9,3.6,-1.8,-0.60,-0.17,FW
Youssef Maleh,MAR,Empoli,24,1998,34,2602,77,76.1,28.9,30,83,17,4,31,0,1.06,20,43,-23,-0.80,-0.58,27.5,39.6,-12.1,-0.42,+0.08,MF
Youssef Maleh,MAR,Lecce,24,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,MF
