Player,Nation,Squad,Age,Position,League,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Kicked,Yellow Cards,Red Cards,xG,Non-Penalty xG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,Progressive Passes Received
Tariq Lamptey,GHA,Brighton,22,DF,Premier League,19,10,914,10.2,0.0,0.29540481400437635,0.29540481400437635,0.0,0.0,0.0,0.29540481400437635,0.0,0.03938730853391685,0.03938730853391685,0.11816192560175055,0.1673960612691466,3.840262582056893,1.6739606126914661,6.301969365426696
Bruno Langa,MOZ,Almería,25,DF,La Liga,11,9,820,9.1,0.10975609756097561,0.0,0.10975609756097561,0.10975609756097561,0.0,0.0,0.10975609756097561,0.10975609756097561,0.021951219512195124,0.021951219512195124,0.04390243902439025,0.054878048780487805,1.5365853658536586,2.74390243902439,3.292682926829268
Aymeric Laporte,ESP,Manchester City,29,DF,Premier League,1,0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julien Laporte,FRA,Lorient,29,DF,Ligue 1,23,20,1818,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.198019801980198,0.0,0.039603960396039604,0.039603960396039604,0.0,0.039603960396039604,0.24752475247524755,2.772277227722772,0.1485148514851485
Yasser Larouci,ALG,Sheffield Utd,22,DF,Premier League,11,6,531,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1694915254237288,0.0,0.03389830508474576,0.03389830508474576,0.05084745762711865,0.0847457627118644,3.0508474576271185,2.3728813559322033,2.0338983050847457
Jamaal Lascelles,ENG,Newcastle Utd,29,DF,Premier League,16,13,1080,12.0,0.08333333333333334,0.0,0.08333333333333334,0.08333333333333334,0.0,0.0,0.33333333333333337,0.0,0.058333333333333334,0.058333333333333334,0.008333333333333335,0.06666666666666668,0.6666666666666667,2.5833333333333335,0.25
Toni Lato,ESP,Mallorca,25,DF,La Liga,28,16,1544,17.2,0.0,0.05829015544041451,0.05829015544041451,0.0,0.0,0.0,0.17487046632124353,0.0,0.011658031088082901,0.011658031088082901,0.07577720207253887,0.09326424870466321,1.7487046632124352,2.273316062176166,6.411917098445596
Valentino Lazaro,AUT,Torino,27,DF,Serie A,35,21,1994,22.2,0.0,0.18054162487462388,0.18054162487462388,0.0,0.0,0.0,0.13540621865596789,0.0,0.07673019057171514,0.07673019057171514,0.13089267803410232,0.21213640922768304,2.3921765295887663,4.242728184553661,4.7843530591775325
Manuel Lazzari,ITA,Lazio,29,DF,Serie A,24,19,1671,18.6,0.0,0.10771992818671454,0.10771992818671454,0.0,0.0,0.0,0.21543985637342908,0.05385996409335727,0.05385996409335727,0.05385996409335727,0.07001795332136446,0.1238779174147217,3.931777378815081,3.3393177737881508,5.601436265709156
Théo Le Bris,FRA,Lorient,20,DF,Ligue 1,26,15,1516,16.8,0.0,0.11873350923482849,0.11873350923482849,0.0,0.0,0.0,0.11873350923482849,0.0,0.07124010554089709,0.07124010554089709,0.09498680738786279,0.16622691292875988,3.324538258575198,3.4432717678100264,6.945910290237467
Julien Le Cardinal,FRA,Brest,25,DF,Ligue 1,12,5,473,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5708245243128964,0.0,0.057082452431289635,0.057082452431289635,0.019027484143763214,0.07610993657505286,0.5708245243128964,4.5665961945031714,0.7610993657505286
Julien Le Cardinal,FRA,Lens,25,DF,Ligue 1,2,0,58,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5517241379310345,6.206896551724138,3.103448275862069
Vincent Le Goff,FRA,Lorient,33,DF,Ligue 1,9,8,541,6.0,0.16635859519408502,0.16635859519408502,0.33271719038817005,0.16635859519408502,0.0,0.0,0.16635859519408502,0.0,0.016635859519408505,0.016635859519408505,0.14972273567467653,0.16635859519408502,1.497227356746765,3.6598890942698707,8.484288354898336
Robin Le Normand,ESP,Real Sociedad,26,DF,La Liga,29,28,2469,27.4,0.07290400972053464,0.0,0.07290400972053464,0.07290400972053464,0.0,0.0,0.4738760631834751,0.0,0.03645200486026732,0.03645200486026732,0.003645200486026732,0.04374240583232077,0.7654921020656136,3.8639125151883356,0.03645200486026732
Diogo Leite,POR,Union Berlin,24,DF,Bundesliga,32,31,2702,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1998519615099926,0.0,0.02664692820133235,0.02664692820133235,0.006661732050333088,0.03330866025166543,0.46632124352331605,4.030347890451518,0.1332346410066617
Maxim Leitsch,GER,Mainz 05,25,DF,Bundesliga,7,4,379,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23746701846965698,1.662269129287599,0.0
Florian Lejeune,FRA,Rayo Vallecano,32,DF,La Liga,37,37,3327,37.0,0.0811541929666366,0.027051397655545536,0.10820559062218214,0.0811541929666366,0.0,0.0,0.1352569882777277,0.0,0.08926961226330027,0.08926961226330027,0.018935978358881875,0.10820559062218214,0.40577096483318303,3.083859332732191,0.10820559062218214
Stefan Lekovic,SRB,Villarreal,19,DF,La Liga,1,0,29,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iñigo Lekue,ESP,Athletic Club,30,DF,La Liga,27,22,2002,22.2,0.0,0.0899100899100899,0.0899100899100899,0.0,0.0,0.0,0.1798201798201798,0.0,0.008991008991008992,0.008991008991008992,0.04945054945054945,0.053946053946053944,1.978021978021978,5.34965034965035,1.5734265734265735
Álvaro Lemos,ESP,Las Palmas,30,DF,La Liga,4,3,251,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.35856573705179284,0.0,0.0,0.0,0.0,0.0,2.151394422310757,6.095617529880478,2.8685258964143427
Ruben Lendinez,ESP,Valencia,20,DF,La Liga,1,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.545454545454543
Clément Lenglet,FRA,Aston Villa,28,DF,Premier League,14,14,1153,12.8,0.0,0.07805724197745013,0.07805724197745013,0.0,0.0,0.0,0.2341717259323504,0.0,0.07025151777970512,0.07025151777970512,0.062445793581960105,0.12489158716392021,2.029488291413703,3.9809193408499564,0.07805724197745013
Christopher Lenz,GER,RB Leipzig,28,DF,Bundesliga,5,0,47,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19148936170212766,0.19148936170212766,1.9148936170212765,3.829787234042553,13.404255319148936
Christopher Lenz,GER,Eint Frankfurt,28,DF,Bundesliga,1,0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Rico Lewis,ENG,Manchester City,18,DF,Premier League,16,8,809,9.0,0.22249690976514214,0.0,0.22249690976514214,0.22249690976514214,0.0,0.0,0.11124845488257107,0.0,0.06674907292954264,0.06674907292954264,0.12237330037082818,0.20024721878862795,2.3362175525339923,3.6711990111248456,5.117428924598269
Philipp Lienhart,AUT,Freiburg,27,DF,Bundesliga,15,14,1265,14.1,0.07114624505928854,0.0,0.07114624505928854,0.07114624505928854,0.0,0.0,0.21343873517786563,0.0,0.0782608695652174,0.0782608695652174,0.0782608695652174,0.1565217391304348,0.9960474308300395,3.7707509881422925,0.21343873517786563
Matthijs de Ligt,NED,Bayern Munich,23,DF,Bundesliga,22,16,1390,15.4,0.12949640287769784,0.0,0.12949640287769784,0.12949640287769784,0.0,0.0,0.32374100719424465,0.0,0.11007194244604317,0.11007194244604317,0.006474820143884892,0.12302158273381295,1.0359712230215827,6.345323741007194,0.3884892086330935
Victor Lindelöf,SWE,Manchester Utd,29,DF,Premier League,19,14,1328,14.8,0.06777108433734941,0.06777108433734941,0.13554216867469882,0.06777108433734941,0.0,0.0,0.13554216867469882,0.0,0.054216867469879526,0.054216867469879526,0.02033132530120482,0.07454819277108435,1.1521084337349397,2.710843373493976,1.1521084337349397
Samuel Lino,BRA,Atlético Madrid,23,DF,La Liga,34,25,2080,23.1,0.17307692307692307,0.21634615384615385,0.3894230769230769,0.17307692307692307,0.0,0.0,0.04326923076923077,0.0,0.2423076923076923,0.2423076923076923,0.20336538461538461,0.4456730769230769,5.668269230769231,3.634615384615385,9.302884615384615
Pol Lirola,ESP,Frosinone,25,DF,Serie A,25,18,1536,17.1,0.1171875,0.05859375,0.17578125,0.1171875,0.0,0.0,0.05859375,0.0,0.076171875,0.076171875,0.064453125,0.140625,1.7578125,3.80859375,3.45703125
Valentino Livramento,ENG,Newcastle Utd,20,DF,Premier League,26,12,1314,14.6,0.0684931506849315,0.0,0.0684931506849315,0.0684931506849315,0.0,0.0,0.0684931506849315,0.0,0.027397260273972605,0.027397260273972605,0.05479452054794521,0.0821917808219178,3.013698630136986,4.178082191780821,5.205479452054794
Diego Llorente,ESP,Roma,29,DF,Serie A,29,27,2170,24.1,0.041474654377880185,0.041474654377880185,0.08294930875576037,0.041474654377880185,0.0,0.0,0.2073732718894009,0.0,0.012442396313364055,0.012442396313364055,0.02488479262672811,0.03732718894009217,0.8294930875576036,3.1105990783410142,0.2073732718894009
Gautier Lloris,FRA,Le Havre,28,DF,Ligue 1,31,31,2778,30.9,0.06479481641468682,0.0,0.06479481641468682,0.06479481641468682,0.0,0.0,0.06479481641468682,0.0,0.06803455723542116,0.06803455723542116,0.006479481641468683,0.07451403887688984,0.4211663066954644,3.4017278617710582,0.16198704103671707
Bradley Locko,FRA,Brest,21,DF,Ligue 1,33,33,2959,32.9,0.0,0.09124704291990537,0.09124704291990537,0.0,0.0,0.0,0.15207840486650895,0.0,0.009124704291990537,0.009124704291990537,0.04866508955728287,0.0577897938492734,2.5245015207840487,3.9236228455559314,4.927340317674891
Tom Lockyer,WAL,Luton Town,28,DF,Premier League,14,14,1169,13.0,0.07698887938408897,0.07698887938408897,0.15397775876817793,0.07698887938408897,0.0,0.0,0.30795551753635586,0.0,0.08468776732249787,0.08468776732249787,0.046193327630453376,0.13088109495295125,0.4619332763045338,2.848588537211292,0.15397775876817793
Renan Lodi,BRA,Marseille,25,DF,Ligue 1,14,14,1235,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.43724696356275305,0.0,0.02186234817813765,0.02186234817813765,0.09473684210526316,0.11659919028340081,1.8218623481781377,3.7165991902834006,5.611336032388664
Noah Loosli,SUI,Bochum,26,DF,Bundesliga,10,2,346,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.26011560693641617,0.0,0.0,0.0,0.0,0.0,0.26011560693641617,1.5606936416184969,0.7803468208092484
David López,ESP,Girona,33,DF,La Liga,25,25,1965,21.8,0.13740458015267176,0.0,0.13740458015267176,0.13740458015267176,0.0,0.0,0.183206106870229,0.0,0.09618320610687023,0.08702290076335877,0.00916030534351145,0.09618320610687023,0.6870229007633587,2.4732824427480917,0.04580152671755725
Javi López,ESP,Alavés,21,DF,La Liga,32,25,2386,26.5,0.037720033528918694,0.11316010058675607,0.15088013411567477,0.037720033528918694,0.0,0.0,0.11316010058675607,0.0,0.03394803017602682,0.03394803017602682,0.11316010058675607,0.15088013411567477,1.9991617770326908,3.4702430846605195,4.526404023470243
Jordan Lotomba,SUI,Nice,24,DF,Ligue 1,28,21,1804,20.0,0.04988913525498891,0.0,0.04988913525498891,0.04988913525498891,0.0,0.0,0.19955654101995565,0.0,0.04490022172949002,0.04490022172949002,0.054878048780487805,0.09977827050997783,1.7960088691796008,2.5942350332594235,1.9955654101995568
Matteo Lovato,ITA,Torino,23,DF,Serie A,13,6,544,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33088235294117646,0.0,0.0,0.0,0.0,0.0,0.0,0.6617647058823529,0.0
Matteo Lovato,ITA,Salernitana,23,DF,Serie A,13,11,947,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1900739176346357,0.0,0.0,0.0,0.019007391763463572,0.019007391763463572,0.09503695881731784,2.7560718057022173,0.09503695881731784
Dejan Lovren,CRO,Lyon,34,DF,Ligue 1,10,8,718,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25069637883008355,0.12534818941504178,0.05013927576601671,0.05013927576601671,0.0,0.06267409470752089,0.6267409470752089,2.5069637883008355,0.12534818941504178
Max Lowe,ENG,Sheffield Utd,26,DF,Premier League,10,4,503,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.17892644135188865,0.0,0.10735586481113318,0.10735586481113318,0.12524850894632206,0.23260437375745527,0.8946322067594433,2.147117296222664,1.9681908548707754
Lucas,BRA,Cádiz,22,DF,La Liga,28,15,1539,17.1,0.05847953216374269,0.0,0.05847953216374269,0.05847953216374269,0.0,0.0,0.3508771929824561,0.0,0.046783625730994156,0.046783625730994156,0.1111111111111111,0.15789473684210525,1.7543859649122806,2.7485380116959064,3.8011695906432745
Jhon Lucumí,COL,Bologna,25,DF,Serie A,29,23,2217,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.04059539918809202,0.0,0.03247631935047361,0.03247631935047361,0.012178619756427603,0.04465493910690122,1.1366711772665765,3.7753721244925575,0.16238159675236807
José Luis Gayà,ESP,Valencia,28,DF,La Liga,24,22,1791,19.9,0.05025125628140704,0.10050251256281408,0.15075376884422112,0.05025125628140704,0.0,0.0,0.10050251256281408,0.0,0.02512562814070352,0.02512562814070352,0.1306532663316583,0.15577889447236182,2.0603015075376887,3.6180904522613067,4.874371859296483
José Luis Palomino,ARG,Atalanta,33,DF,Serie A,4,0,27,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666666,0.0
Castello Lukeba,FRA,RB Leipzig,20,DF,Bundesliga,32,24,2191,24.3,0.041077133728890915,0.0,0.041077133728890915,0.041077133728890915,0.0,0.0,0.12323140118667276,0.0,0.032861706983112735,0.032861706983112735,0.004107713372889092,0.03696942035600183,0.9447740757644911,4.395253308991328,0.36969420356001825
Sebastiano Luperto,ITA,Empoli,26,DF,Serie A,38,38,3406,37.8,0.026423957721667644,0.026423957721667644,0.05284791544333529,0.026423957721667644,0.0,0.0,0.10569583088667057,0.0,0.044920728126834994,0.044920728126834994,0.026423957721667644,0.07134468584850265,0.34351145038167935,2.642395772166765,0.34351145038167935
Mateus Lusuardi,BRA,Frosinone,19,DF,Serie A,4,3,219,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.410958904109589,0.0,0.04109589041095891,0.04109589041095891,0.0,0.04109589041095891,0.821917808219178,4.931506849315069,0.0
Charalambos Lykogiannis,GRE,Bologna,29,DF,Serie A,22,10,904,10.0,0.19911504424778761,0.09955752212389381,0.29867256637168144,0.19911504424778761,0.0,0.0,0.19911504424778761,0.0,0.12942477876106195,0.12942477876106195,0.15929203539823011,0.288716814159292,3.584070796460177,3.4845132743362828,4.081858407079646
Ian Maatsen,NED,Dortmund,21,DF,Bundesliga,16,15,1264,14.0,0.14240506329113925,0.14240506329113925,0.2848101265822785,0.14240506329113925,0.0,0.0,0.3560126582278481,0.0,0.06408227848101265,0.06408227848101265,0.09968354430379746,0.1637658227848101,2.9193037974683542,5.69620253164557,3.488924050632911
Deiver Machado,COL,Lens,29,DF,Ligue 1,19,13,1124,12.5,0.32028469750889677,0.0,0.32028469750889677,0.32028469750889677,0.0,0.0,0.32028469750889677,0.0,0.13612099644128114,0.13612099644128114,0.10409252669039147,0.23220640569395018,1.7615658362989324,2.0818505338078293,5.92526690391459
Pablo Maffeo,ESP,Mallorca,26,DF,La Liga,22,17,1454,16.2,0.06189821182943604,0.12379642365887208,0.18569463548830809,0.06189821182943604,0.0,0.0,0.18569463548830809,0.06189821182943604,0.04951856946354883,0.04951856946354883,0.05570839064649244,0.10522696011004126,2.3521320495185694,2.5378266850068774,4.209078404401651
Gabriel Magalhães,BRA,Arsenal,25,DF,Premier League,36,34,3044,33.8,0.11826544021024968,0.0,0.11826544021024968,0.11826544021024968,0.0,0.0,0.11826544021024968,0.0,0.12713534822601838,0.12713534822601838,0.02069645203679369,0.1478318002628121,0.3843626806833114,3.4592641261498027,0.23653088042049936
Soungoutou Magassa,FRA,Monaco,19,DF,Ligue 1,21,15,1346,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46805349182763745,0.0,0.040118870728083206,0.040118870728083206,0.0066864784546805354,0.053491827637444284,0.46805349182763745,6.151560178306092,0.8692421991084696
Matej Maglica,CRO,Darmstadt 98,24,DF,Bundesliga,26,21,1698,18.9,0.05300353356890459,0.0,0.05300353356890459,0.05300353356890459,0.0,0.0,0.3710247349823321,0.10600706713780918,0.03180212014134275,0.03180212014134275,0.037102473498233215,0.0636042402826855,0.5830388692579506,3.286219081272085,0.26501766784452296
Giangiacomo Magnani,ITA,Hellas Verona,27,DF,Serie A,33,27,2444,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.220949263502455,0.0,0.018412438625204582,0.018412438625204582,0.007364975450081834,0.029459901800327336,0.5523731587561375,2.9091653027823243,0.36824877250409166
Harry Maguire,ENG,Manchester Utd,30,DF,Premier League,22,18,1653,18.4,0.10889292196007261,0.10889292196007261,0.21778584392014522,0.10889292196007261,0.0,0.0,0.21778584392014522,0.0,0.10889292196007261,0.10889292196007261,0.06533575317604355,0.17967332123411978,1.0889292196007259,3.9745916515426494,0.10889292196007261
Patrick Mainka,GER,Heidenheim,28,DF,Bundesliga,34,34,3060,34.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.029411764705882353,0.0,0.09411764705882354,0.09411764705882354,0.0029411764705882357,0.09411764705882354,0.9705882352941176,3.5882352941176467,0.1764705882352941
Ainsley Maitland-Niles,ENG,Lyon,25,DF,Ligue 1,23,16,1432,15.9,0.06284916201117319,0.25139664804469275,0.3142458100558659,0.0,0.06284916201117319,0.06284916201117319,0.06284916201117319,0.06284916201117319,0.18854748603351956,0.138268156424581,0.1319832402234637,0.2639664804469274,1.6340782122905029,4.776536312849162,5.153631284916202
Jordy Makengo,FRA,Freiburg,21,DF,Bundesliga,20,10,1026,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.08771929824561403,0.0,0.01754385964912281,0.01754385964912281,0.01754385964912281,0.03508771929824562,2.3684210526315788,4.56140350877193,2.982456140350877
Julián Malatini,ARG,Werder Bremen,22,DF,Bundesliga,11,6,602,6.7,0.14950166112956811,0.0,0.14950166112956811,0.14950166112956811,0.0,0.0,0.14950166112956811,0.0,0.14950166112956811,0.14950166112956811,0.029900332225913623,0.1794019933554817,1.345514950166113,4.036544850498339,1.0465116279069768
Wilson Manafá,POR,Granada,29,DF,La Liga,4,3,240,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.1125,0.1125,1.875,1.5,2.25
Gianluca Mancini,ITA,Roma,27,DF,Serie A,36,34,2869,31.9,0.12547926106657373,0.03136981526664343,0.15684907633321715,0.12547926106657373,0.0,0.0,0.28232833739979085,0.0,0.059602649006622516,0.059602649006622516,0.03450679679330777,0.09410944579993029,1.1920529801324504,4.360404322063436,0.4078075984663646
Reinildo Mandava,MOZ,Atlético Madrid,29,DF,La Liga,16,7,731,8.1,0.24623803009575923,0.12311901504787962,0.3693570451436389,0.24623803009575923,0.0,0.0,0.24623803009575923,0.0,0.11080711354309165,0.11080711354309165,0.07387140902872777,0.18467852257181944,1.231190150478796,4.432284541723666,2.0930232558139537
Aïssa Mandi,ALG,Villarreal,31,DF,La Liga,16,12,1113,12.4,0.08086253369272238,0.0,0.08086253369272238,0.08086253369272238,0.0,0.0,0.24258760107816713,0.0,0.048517520215633415,0.048517520215633415,0.056603773584905655,0.10512129380053908,0.48517520215633425,4.447439353099731,0.3234501347708895
Kostas Manolas,GRE,Salernitana,32,DF,Serie A,8,6,488,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018442622950819672,0.018442622950819672,0.018442622950819672,0.036885245901639344,0.0,1.8442622950819672,0.36885245901639346
Javier Manquillo,ESP,Celta Vigo,29,DF,La Liga,12,10,744,8.3,0.0,0.12096774193548387,0.12096774193548387,0.0,0.0,0.0,0.3629032258064516,0.0,0.012096774193548387,0.012096774193548387,0.024193548387096774,0.036290322580645164,0.6048387096774194,3.0241935483870965,1.935483870967742
Faitout Maouassa,FRA,Granada,25,DF,La Liga,6,2,229,2.5,0.0,0.3930131004366812,0.3930131004366812,0.0,0.0,0.0,0.0,0.0,0.07860262008733625,0.07860262008733625,0.1965065502183406,0.27510917030567683,3.1441048034934496,2.358078602620087,5.895196506550218
Marcão,BRA,Sevilla,27,DF,La Liga,7,3,355,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5070422535211268,0.0,0.0,0.0,0.05070422535211268,0.05070422535211268,0.76056338028169,3.04225352112676,0.0
Riccardo Marchizza,ITA,Frosinone,25,DF,Serie A,13,13,1148,12.8,0.0,0.313588850174216,0.313588850174216,0.0,0.0,0.0,0.078397212543554,0.0,0.0313588850174216,0.0313588850174216,0.0627177700348432,0.09407665505226481,0.47038327526132406,2.822299651567944,3.057491289198606
Gian Marco Ferrari,ITA,Sassuolo,31,DF,Serie A,31,25,2272,25.2,0.03961267605633803,0.0,0.03961267605633803,0.03961267605633803,0.0,0.0,0.15845070422535212,0.0,0.06338028169014084,0.06338028169014084,0.011883802816901406,0.07526408450704225,1.267605633802817,5.862676056338028,0.2772887323943662
Óscar de Marcos,ESP,Athletic Club,34,DF,La Liga,28,26,2258,25.1,0.03985828166519043,0.19929140832595219,0.23914968999114258,0.03985828166519043,0.0,0.0,0.19929140832595219,0.0,0.02391496899911426,0.02391496899911426,0.12356067316209035,0.14747564216120462,2.032772364924712,5.699734278122231,4.982285208148804
Pablo Marí,ESP,Monza,29,DF,Serie A,34,30,2615,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2409177820267686,0.0,0.013766730401529637,0.013766730401529637,0.010325047801147227,0.024091778202676863,0.06883365200764818,2.133843212237094,0.03441682600382409
José María Giménez,URU,Atlético Madrid,28,DF,La Liga,22,14,1326,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3393665158371041,0.0,0.027149321266968326,0.027149321266968326,0.006787330316742082,0.03393665158371041,0.13574660633484165,1.7647058823529411,0.06787330316742082
Rafa Marín,ESP,Alavés,21,DF,La Liga,33,27,2443,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.22103970528039293,0.0,0.025787965616045842,0.025787965616045842,0.011051985264019647,0.036839950880065496,0.4789193614408514,2.836676217765043,0.22103970528039293
Guillermo Maripán,CHI,Monaco,29,DF,Ligue 1,23,21,1767,19.6,0.050933786078098474,0.0,0.050933786078098474,0.050933786078098474,0.0,0.0,0.0,0.050933786078098474,0.02037351443123939,0.02037351443123939,0.025466893039049237,0.04584040747028862,0.2037351443123939,3.00509337860781,0.2546689303904923
Mika Màrmol,ESP,Las Palmas,21,DF,La Liga,36,36,3178,35.3,0.0,0.028319697923222153,0.028319697923222153,0.0,0.0,0.0,0.1699181875393329,0.028319697923222153,0.005663939584644431,0.005663939584644431,0.028319697923222153,0.031151667715544368,1.0195091252359976,4.021397105097546,0.36815607300188796
Marquinhos,BRA,Paris S-G,29,DF,Ligue 1,21,18,1537,17.1,0.0,0.058555627846454135,0.058555627846454135,0.0,0.0,0.0,0.058555627846454135,0.0,0.023422251138581655,0.023422251138581655,0.029277813923227067,0.05270006506180872,1.0540013012361742,6.675341574495771,0.17566688353936238
Aarón Martín,ESP,Genoa,26,DF,Serie A,22,17,1376,15.3,0.0,0.06540697674418605,0.06540697674418605,0.0,0.0,0.0,0.2616279069767442,0.06540697674418605,0.013081395348837208,0.013081395348837208,0.11119186046511628,0.12427325581395349,1.8313953488372094,2.2892441860465116,4.709302325581396
Jon Martin,ESP,Real Sociedad,17,DF,La Liga,1,0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arnau Martinez,ESP,Girona,20,DF,La Liga,21,14,1241,13.8,0.0,0.145044319097502,0.145044319097502,0.0,0.0,0.0,0.362610797743755,0.0,0.014504431909750202,0.014504431909750202,0.1015310233682514,0.11603545527800162,2.103142626913779,4.931506849315069,1.160354552780016
Iñigo Martínez,ESP,Barcelona,32,DF,La Liga,20,13,1296,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3472222222222222,0.0,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,2.2916666666666665,6.736111111111111,0.3472222222222222
Lisandro Martínez,ARG,Manchester Utd,25,DF,Premier League,11,8,646,7.2,0.0,0.1393188854489164,0.1393188854489164,0.0,0.0,0.0,0.4179566563467492,0.0,0.0,0.0,0.013931888544891642,0.013931888544891642,1.1145510835913313,3.9009287925696596,0.1393188854489164
Lucas Martínez Quarta,ARG,Fiorentina,27,DF,Serie A,29,26,2291,25.5,0.19642077695329552,0.039284155390659097,0.2357049323439546,0.19642077695329552,0.0,0.0,0.35355739851593193,0.0,0.10606721955477959,0.10606721955477959,0.07071147970318638,0.18070711479703186,0.9035355739851594,6.95329550414666,0.6285464862505455
Adam Marušić,MNE,Lazio,30,DF,Serie A,37,37,3100,34.4,0.02903225806451613,0.0,0.02903225806451613,0.02903225806451613,0.0,0.0,0.08709677419354839,0.02903225806451613,0.011612903225806452,0.011612903225806452,0.023225806451612905,0.03483870967741935,1.0161290322580645,3.425806451612903,3.1354838709677417
Adam Masina,MAR,Udinese,29,DF,Serie A,4,1,64,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.8125,0.0,0.140625,0.140625,0.0,0.140625,0.0,1.40625,4.21875
Adam Masina,MAR,Torino,29,DF,Serie A,16,10,1024,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017578125,0.017578125,0.017578125,0.03515625,0.263671875,3.69140625,0.52734375
Erhan Mašović,SRB,Bochum,24,DF,Bundesliga,29,24,2219,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.28391167192429023,0.0,0.044614691302388466,0.044614691302388466,0.01216764308246958,0.05678233438485804,0.6083821541234791,1.9062640829202344,0.40558810274898605
Clinton Mata,ANG,Lyon,30,DF,Ligue 1,28,25,2220,24.7,0.0,0.12162162162162163,0.12162162162162163,0.0,0.0,0.0,0.24324324324324326,0.0,0.024324324324324326,0.024324324324324326,0.0891891891891892,0.1135135135135135,1.2972972972972974,3.9324324324324325,2.4324324324324325
Joël Matip,CMR,Liverpool,31,DF,Premier League,10,9,781,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.23047375160051214,0.0,0.057618437900128036,0.057618437900128036,0.01152368758002561,0.06914212548015365,0.9218950064020486,3.9180537772087067,0.11523687580025607
Chrislain Matsima,FRA,Clermont Foot,21,DF,Ligue 1,14,13,1180,13.1,0.07627118644067796,0.0,0.07627118644067796,0.07627118644067796,0.0,0.0,0.15254237288135591,0.0,0.015254237288135594,0.015254237288135594,0.0,0.015254237288135594,0.9915254237288136,3.4322033898305087,0.07627118644067796
Chrislain Matsima,FRA,Monaco,21,DF,Ligue 1,6,3,298,3.3,0.0,0.30201342281879195,0.30201342281879195,0.0,0.0,0.0,0.6040268456375839,0.0,0.0302013422818792,0.0302013422818792,0.0302013422818792,0.0604026845637584,1.5100671140939597,9.36241610738255,1.5100671140939597
Alan Matturro,URU,Genoa,18,DF,Serie A,6,1,106,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08490566037735849,0.08490566037735849,0.0,0.08490566037735849,0.0,3.3962264150943393,0.8490566037735848
Konstantinos Mavropanos,GRE,West Ham,25,DF,Premier League,19,16,1500,16.7,0.06,0.0,0.06,0.06,0.0,0.0,0.12,0.0,0.072,0.072,0.012,0.084,0.6000000000000001,2.28,0.12
