Player,Nation,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Position,League
Aïssa Mandi,ALG,Villarreal,31,1991,16,12,1113,12.4,1,0,1,1,0,0,3,0,0.6,0.6,0.7,1.3,6,55,4,0.08,0.0,0.08,0.08,0.08,0.05,0.05,0.1,0.05,0.1,DF,La Liga
Rolando Mandragora,ITA,Fiorentina,26,1997,33,16,1588,17.6,3,3,6,3,0,0,5,0,3.5,3.5,1.6,5.2,7,93,32,0.17,0.17,0.34,0.17,0.34,0.2,0.09,0.29,0.2,0.29,MF,Serie A
Orel Mangala,BEL,Nott'ham Forest,25,1998,20,19,1563,17.4,1,0,1,1,0,0,6,0,0.8,0.8,0.2,1.1,13,45,14,0.06,0.0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,MF,Premier League
Orel Mangala,BEL,Lyon,25,1998,8,4,398,4.4,2,0,2,2,0,0,0,0,1.0,1.0,0.7,1.6,9,26,21,0.45,0.0,0.45,0.45,0.45,0.22,0.15,0.37,0.22,0.37,MF,Ligue 1
Vito Mannone,ITA,Lille,35,1988,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Ligue 1
Kostas Manolas,GRE,Salernitana,32,1991,8,6,488,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,10,2,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,DF,Serie A
Javier Manquillo,ESP,Celta Vigo,29,1994,12,10,744,8.3,0,1,1,0,0,0,3,0,0.1,0.1,0.2,0.3,5,25,16,0.0,0.12,0.12,0.0,0.12,0.01,0.02,0.04,0.01,0.04,DF,La Liga
Braydon Manu,GHA,Darmstadt 98,26,1997,4,3,171,1.9,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,5,1,9,0.0,0.0,0.0,0.0,0.0,0.19,0.04,0.23,0.19,0.23,MF,Bundesliga
Benson Manuel,ANG,Burnley,26,1997,8,1,116,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,2,14,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,MF,Premier League
Faitout Maouassa,FRA,Granada,25,1998,6,2,229,2.5,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,8,6,15,0.0,0.39,0.39,0.0,0.39,0.06,0.18,0.24,0.06,0.24,DF,La Liga
Faitout Maouassa,FRA,Lens,25,1998,3,1,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21,MF,Ligue 1
Marcão,BRA,Sevilla,27,1996,7,3,355,3.9,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,3,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,DF,La Liga
Solly March,ENG,Brighton,29,1994,7,7,554,6.2,3,1,4,3,0,0,1,0,2.0,2.0,1.0,2.9,14,24,44,0.49,0.16,0.65,0.49,0.65,0.32,0.16,0.47,0.32,0.47,FW,Premier League
Riccardo Marchizza,ITA,Frosinone,25,1998,13,13,1148,12.8,0,4,4,0,0,0,1,0,0.4,0.4,0.8,1.2,6,36,39,0.0,0.31,0.31,0.0,0.31,0.03,0.06,0.1,0.03,0.1,DF,Serie A
Gian Marco Ferrari,ITA,Sassuolo,31,1992,31,25,2272,25.2,1,0,1,1,0,0,4,0,1.6,1.6,0.3,1.9,32,148,7,0.04,0.0,0.04,0.04,0.04,0.06,0.01,0.07,0.06,0.07,DF,Serie A
Óscar de Marcos,ESP,Athletic Club,34,1989,28,26,2258,25.1,1,5,6,1,0,0,5,0,0.6,0.6,3.1,3.7,51,143,125,0.04,0.2,0.24,0.04,0.24,0.03,0.12,0.15,0.03,0.15,DF,La Liga
Alberto Marí,ESP,Valencia,22,2001,16,2,276,3.1,1,1,2,0,1,1,0,0,1.8,1.2,0.9,2.0,2,6,13,0.33,0.33,0.65,0.0,0.33,0.6,0.28,0.88,0.39,0.67,FW,La Liga
José Mari,ESP,Cádiz,35,1987,3,0,14,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.18,MF,La Liga
Pablo Marí,ESP,Monza,29,1993,34,30,2615,29.1,0,0,0,0,0,0,7,0,0.4,0.4,0.3,0.7,2,62,1,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,DF,Serie A
José María Giménez,URU,Atlético Madrid,28,1995,22,14,1326,14.7,0,0,0,0,0,0,5,0,0.4,0.4,0.1,0.5,2,26,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,DF,La Liga
Mariano,DOM,Sevilla,29,1993,9,2,244,2.7,0,0,0,0,0,0,1,0,1.2,1.2,0.1,1.3,3,6,17,0.0,0.0,0.0,0.0,0.0,0.45,0.02,0.48,0.45,0.48,FW,La Liga
Mirko Marić,CRO,Monza,28,1995,10,1,287,3.2,1,0,1,1,0,0,0,1,0.9,0.9,0.5,1.3,2,4,30,0.31,0.0,0.31,0.31,0.31,0.27,0.15,0.42,0.27,0.42,FW,Serie A
Rafa Marín,ESP,Alavés,21,2002,33,27,2443,27.1,0,0,0,0,0,0,6,0,0.7,0.7,0.3,1.0,13,77,6,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,DF,La Liga
Răzvan Marin,ROU,Empoli,27,1996,30,20,1818,20.2,0,3,3,0,0,0,3,0,1.1,1.1,3.0,4.1,21,72,24,0.0,0.15,0.15,0.0,0.15,0.05,0.15,0.2,0.05,0.2,MF,Serie A
Diego Mariño,ESP,Almería,33,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,La Liga
Guillermo Maripán,CHI,Monaco,29,1994,23,21,1767,19.6,1,0,1,1,0,0,0,1,0.4,0.4,0.5,0.9,4,59,5,0.05,0.0,0.05,0.05,0.05,0.02,0.02,0.05,0.02,0.05,DF,Ligue 1
Mika Màrmol,ESP,Las Palmas,21,2002,36,36,3178,35.3,0,1,1,0,0,0,6,1,0.2,0.2,1.0,1.1,36,142,13,0.0,0.03,0.03,0.0,0.03,0.0,0.03,0.03,0.0,0.03,DF,La Liga
Omar Marmoush,EGY,Eint Frankfurt,24,1999,29,27,2301,25.6,12,6,18,10,2,2,7,0,11.6,10.1,4.4,14.5,88,60,165,0.47,0.23,0.7,0.39,0.63,0.46,0.17,0.63,0.39,0.57,FW,Bundesliga
Marquinhos,BRA,Nantes,20,2003,7,1,154,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.7,1.0,2,4,11,0.0,0.0,0.0,0.0,0.0,0.15,0.43,0.58,0.15,0.58,FW,Ligue 1
Marquinhos,BRA,Paris S-G,29,1994,21,18,1537,17.1,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.9,18,114,3,0.0,0.06,0.06,0.0,0.06,0.03,0.03,0.05,0.03,0.05,DF,Ligue 1
Unai Marrero,ESP,Real Sociedad,21,2001,2,1,142,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,La Liga
Agustín Martegani,ARG,Salernitana,23,2000,18,6,731,8.1,1,0,1,1,0,0,1,0,0.6,0.6,0.5,1.1,14,28,22,0.12,0.0,0.12,0.12,0.12,0.07,0.06,0.13,0.07,0.13,MF,Serie A
Eric Martel,GER,Köln,21,2002,30,29,2457,27.3,1,1,2,1,0,0,6,0,2.2,2.2,1.1,3.3,21,75,35,0.04,0.04,0.07,0.04,0.07,0.08,0.04,0.12,0.08,0.12,MF,Bundesliga
Roger Martí,ESP,Cádiz,32,1991,23,18,1359,15.1,2,3,5,2,0,0,3,0,2.8,2.8,2.9,5.6,7,19,64,0.13,0.2,0.33,0.13,0.33,0.18,0.19,0.37,0.18,0.37,FW,La Liga
Anthony Martial,FRA,Manchester Utd,27,1995,13,5,448,5.0,1,0,1,1,0,0,0,0,1.2,1.2,0.2,1.5,6,12,36,0.2,0.0,0.2,0.2,0.2,0.25,0.05,0.29,0.25,0.29,FW,Premier League
Aarón Martín,ESP,Genoa,26,1997,22,17,1376,15.3,0,1,1,0,0,0,4,1,0.2,0.2,1.7,1.9,28,35,72,0.0,0.07,0.07,0.0,0.07,0.01,0.11,0.12,0.01,0.12,DF,Serie A
Iván Martín,ESP,Girona,24,1999,36,33,2729,30.3,5,4,9,5,0,0,5,0,2.9,2.9,3.4,6.3,84,143,109,0.16,0.13,0.3,0.16,0.3,0.09,0.11,0.21,0.09,0.21,MF,La Liga
Jon Martin,ESP,Real Sociedad,17,2006,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,La Liga
Jonas Martin,FRA,Brest,33,1990,31,9,1208,13.4,0,1,1,0,0,0,5,0,1.2,1.2,0.9,2.1,28,105,32,0.0,0.07,0.07,0.0,0.07,0.09,0.07,0.15,0.09,0.15,MF,Ligue 1
Mario Martín,ESP,Real Madrid,19,2004,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,La Liga
Gabriel Martinelli,BRA,Arsenal,22,2001,35,24,2019,22.4,6,4,10,6,0,0,1,0,6.8,6.8,6.1,12.9,127,65,345,0.27,0.18,0.45,0.27,0.45,0.31,0.27,0.58,0.31,0.58,FW,Premier League
Tommaso Martinelli,ITA,Fiorentina,17,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Serie A
Arnau Martinez,ESP,Girona,20,2003,21,14,1241,13.8,0,2,2,0,0,0,5,0,0.2,0.2,1.4,1.6,29,68,16,0.0,0.15,0.15,0.0,0.15,0.01,0.1,0.12,0.01,0.12,DF,La Liga
Emiliano Martínez,ARG,Aston Villa,30,1992,34,34,3015,33.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Premier League
Iñigo Martínez,ESP,Barcelona,32,1991,20,13,1296,14.4,0,0,0,0,0,0,5,0,0.4,0.4,0.0,0.4,33,97,5,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,DF,La Liga
Josep Martinez,ESP,Genoa,25,1998,36,36,3239,36.0,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Serie A
Lautaro Martínez,ARG,Inter,25,1997,33,31,2656,29.5,24,3,27,22,2,3,5,0,17.6,15.3,3.6,18.8,54,80,172,0.81,0.1,0.91,0.75,0.85,0.6,0.12,0.72,0.52,0.64,FW,Serie A
Lisandro Martínez,ARG,Manchester Utd,25,1998,11,8,646,7.2,0,1,1,0,0,0,3,0,0.0,0.0,0.1,0.1,8,28,1,0.0,0.14,0.14,0.0,0.14,0.0,0.01,0.01,0.0,0.01,DF,Premier League
Marc Martínez,ESP,Granada,33,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,La Liga
Lucas Martínez Quarta,ARG,Fiorentina,27,1996,29,26,2291,25.5,5,1,6,5,0,0,9,0,2.7,2.7,1.8,4.6,23,177,16,0.2,0.04,0.24,0.2,0.24,0.11,0.07,0.18,0.11,0.18,DF,Serie A
Adam Marušić,MNE,Lazio,30,1992,37,37,3100,34.4,1,0,1,1,0,0,3,1,0.4,0.4,0.8,1.2,35,118,108,0.03,0.0,0.03,0.03,0.03,0.01,0.02,0.04,0.01,0.04,DF,Serie A
Marvin,ESP,Las Palmas,23,2000,31,17,1855,20.6,0,2,2,0,0,0,5,0,0.9,0.9,2.5,3.5,60,36,177,0.0,0.1,0.1,0.0,0.1,0.05,0.12,0.17,0.05,0.17,FW,La Liga
Omar Mascarell,EQG,Mallorca,30,1993,29,18,1571,17.5,0,0,0,0,0,0,8,1,0.4,0.4,0.0,0.4,12,67,11,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,MF,La Liga
Adam Masina,MAR,Udinese,29,1994,4,1,64,0.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,1,3,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,DF,Serie A
Adam Masina,MAR,Torino,29,1994,16,10,1024,11.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,3,42,6,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,DF,Serie A
Erhan Mašović,SRB,Bochum,24,1998,29,24,2219,24.7,0,0,0,0,0,0,7,0,1.1,1.1,0.3,1.4,15,47,10,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.06,0.04,0.06,DF,Bundesliga
Han-Noah Massengo,FRA,Burnley,22,2001,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Premier League
Roberto Massimo,GER,Stuttgart,22,2000,5,0,84,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,FW,Bundesliga
Clinton Mata,ANG,Lyon,30,1992,28,25,2220,24.7,0,3,3,0,0,0,6,0,0.6,0.6,2.2,2.8,32,97,60,0.0,0.12,0.12,0.0,0.12,0.02,0.09,0.11,0.02,0.11,DF,Ligue 1
Jaime Mata,ESP,Getafe,34,1988,35,22,1787,19.9,5,1,6,5,0,0,10,1,5.6,5.6,1.5,7.2,16,19,138,0.25,0.05,0.3,0.25,0.3,0.28,0.08,0.36,0.28,0.36,FW,La Liga
Pape Matar Sarr,SEN,Tottenham,20,2002,34,27,2069,23.0,3,3,6,3,0,0,9,0,3.4,3.4,2.2,5.7,43,150,90,0.13,0.13,0.26,0.13,0.26,0.15,0.1,0.25,0.15,0.25,MF,Premier League
Eliot Matazo,BEL,Monaco,21,2002,6,0,102,1.1,0,1,1,0,0,0,2,0,0.1,0.1,1.0,1.1,2,10,2,0.0,0.88,0.88,0.0,0.88,0.07,0.91,0.98,0.07,0.98,MF,Ligue 1
Jean-Philippe Mateta,FRA,Crystal Palace,26,1997,35,25,2282,25.4,16,5,21,14,2,2,3,0,10.9,9.4,3.1,12.5,29,25,135,0.63,0.2,0.83,0.55,0.75,0.43,0.12,0.56,0.37,0.49,FW,Premier League
Nemanja Matić,SRB,Rennes,34,1988,13,11,1027,11.4,0,0,0,0,0,0,7,0,0.3,0.3,0.8,1.1,14,83,8,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,MF,Ligue 1
Nemanja Matić,SRB,Lyon,34,1988,15,15,1254,13.9,0,0,0,0,0,0,2,0,0.3,0.3,0.6,0.9,26,118,17,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,MF,Ligue 1
Joël Matip,CMR,Liverpool,31,1991,10,9,781,8.7,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,8,34,1,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.06,0.06,0.06,DF,Premier League
Alex Matos,ENG,Chelsea,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Premier League
Chrislain Matsima,FRA,Clermont Foot,21,2002,14,13,1180,13.1,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,13,45,1,0.08,0.0,0.08,0.08,0.08,0.01,0.0,0.01,0.01,0.01,DF,Ligue 1
Chrislain Matsima,FRA,Monaco,21,2002,6,3,298,3.3,0,1,1,0,0,0,2,0,0.1,0.1,0.1,0.2,5,31,5,0.0,0.3,0.3,0.0,0.3,0.04,0.02,0.06,0.04,0.06,DF,Ligue 1
Jean Mattéo Bahoya,FRA,Eint Frankfurt,18,2005,8,1,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,MF,Bundesliga
Remi Matthews,ENG,Crystal Palace,29,1994,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Premier League
Alan Matturro,URU,Genoa,18,2004,6,1,106,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,DF,Serie A
Azor Matusiwa,NED,Reims,25,1998,16,16,1385,15.4,1,0,1,1,0,0,3,0,0.7,0.7,0.7,1.3,12,78,12,0.06,0.0,0.06,0.06,0.06,0.04,0.04,0.09,0.04,0.09,MF,Ligue 1
Azor Matusiwa,NED,Rennes,25,1998,12,9,794,8.8,0,1,1,0,0,0,2,0,0.3,0.3,0.4,0.7,3,64,12,0.0,0.11,0.11,0.0,0.11,0.04,0.04,0.08,0.04,0.08,MF,Ligue 1
Neal Maupay,FRA,Brentford,26,1996,29,13,1321,14.7,6,3,9,6,0,0,8,0,5.7,5.7,2.3,8.1,21,37,91,0.41,0.2,0.61,0.41,0.61,0.39,0.16,0.55,0.39,0.55,FW,Premier League
Neal Maupay,FRA,Everton,26,1996,2,1,111,1.2,0,0,0,0,0,0,0,0,1.4,1.4,0.1,1.5,1,0,6,0.0,0.0,0.0,0.0,0.0,1.16,0.05,1.22,1.16,1.22,FW,Premier League
Aïman Maurer,MAR,Clermont Foot,18,2004,5,0,56,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,MF,Ligue 1
Konstantinos Mavropanos,GRE,West Ham,25,1997,19,16,1500,16.7,1,0,1,1,0,0,2,0,1.2,1.2,0.2,1.4,10,38,2,0.06,0.0,0.06,0.06,0.06,0.07,0.01,0.08,0.07,0.08,DF,Premier League
Christian Mawissa,FRA,Toulouse,18,2005,17,12,1118,12.4,2,0,2,2,0,0,3,0,1.0,1.0,0.3,1.3,26,39,11,0.16,0.0,0.16,0.16,0.16,0.08,0.02,0.1,0.08,0.1,DF,Ligue 1
Philipp Max,GER,Eint Frankfurt,29,1993,23,17,1350,15.0,1,2,3,1,0,0,2,0,0.2,0.2,2.8,3.0,25,63,56,0.07,0.13,0.2,0.07,0.2,0.02,0.18,0.2,0.02,0.2,DF,Bundesliga
Eric Maxim Choupo-Moting,CMR,Bayern Munich,34,1989,27,7,717,8.0,2,2,4,2,0,0,1,0,4.5,4.5,1.8,6.4,23,21,71,0.25,0.25,0.5,0.25,0.5,0.57,0.23,0.8,0.57,0.8,MF,Bundesliga
Luís Maximiano,POR,Almería,24,1999,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,La Liga
Noam Mayoka-Tika,BEL,Marseille,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Ligue 1
Borja Mayoral,ESP,Getafe,26,1997,27,25,2153,23.9,15,1,16,11,4,4,2,0,11.9,8.7,1.4,10.1,27,67,100,0.63,0.04,0.67,0.46,0.5,0.5,0.06,0.55,0.36,0.42,FW,La Liga
Senny Mayulu,FRA,Paris S-G,17,2006,8,3,324,3.6,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,4,11,38,0.0,0.28,0.28,0.0,0.28,0.04,0.13,0.17,0.04,0.17,FW,Ligue 1
Youssef Maziz,FRA,Metz,25,1998,2,2,124,1.4,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,2,6,2,0.73,0.0,0.73,0.73,0.73,0.08,0.04,0.12,0.08,0.12,FW,Ligue 1
Noussair Mazraoui,MAR,Bayern Munich,25,1997,19,15,1197,13.3,0,3,3,0,0,0,3,0,0.9,0.9,1.8,2.6,34,103,79,0.0,0.23,0.23,0.0,0.23,0.07,0.13,0.2,0.07,0.2,DF,Bundesliga
Luca Mazzitelli,ITA,Frosinone,27,1995,29,26,2210,24.6,5,0,5,5,0,0,6,1,2.3,2.3,1.1,3.4,18,167,53,0.2,0.0,0.2,0.2,0.2,0.09,0.05,0.14,0.09,0.14,MF,Serie A
Pasquale Mazzocchi,ITA,Salernitana,28,1995,18,16,1272,14.1,0,1,1,0,0,0,4,0,0.3,0.3,1.3,1.6,36,36,62,0.0,0.07,0.07,0.0,0.07,0.02,0.09,0.11,0.02,0.11,DF,Serie A
Pasquale Mazzocchi,ITA,Napoli,28,1995,10,4,428,4.8,0,1,1,0,0,0,0,1,0.2,0.2,0.2,0.4,14,24,22,0.0,0.21,0.21,0.0,0.21,0.03,0.04,0.08,0.03,0.08,DF,Serie A
Kevin Mbabu,SUI,Augsburg,28,1995,25,22,2047,22.7,0,2,2,0,0,0,5,0,0.1,0.1,1.9,2.1,70,84,106,0.0,0.09,0.09,0.0,0.09,0.01,0.09,0.09,0.01,0.09,DF,Bundesliga
Noah Mbamba,BEL,Leverkusen,18,2005,3,0,16,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,1,2,1,0.0,5.63,5.63,0.0,5.63,0.14,3.16,3.3,0.14,3.3,MF,Bundesliga
Ethan Mbappé,FRA,Paris S-G,16,2006,3,0,48,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,MF,Ligue 1
Kylian Mbappé,FRA,Paris S-G,24,1998,29,24,2158,24.0,27,7,34,21,6,8,4,0,21.0,14.5,5.7,20.2,114,122,286,1.13,0.29,1.42,0.88,1.17,0.87,0.24,1.11,0.6,0.84,FW,Ligue 1
Malick Mbaye,SEN,Metz,19,2004,5,1,153,1.7,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,8,1,20,0.0,0.0,0.0,0.0,0.0,0.26,0.11,0.37,0.26,0.37,MF,Ligue 1
Mamadou Mbaye,SEN,Cádiz,25,1998,4,2,288,3.2,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,0,4,0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,DF,La Liga
Chancel Mbemba,COD,Marseille,28,1994,25,25,2207,24.5,2,2,4,2,0,0,1,0,1.8,1.8,1.0,2.8,16,131,10,0.08,0.08,0.16,0.08,0.16,0.07,0.04,0.12,0.07,0.12,DF,Ligue 1
Nolan Mbemba,CGO,Le Havre,28,1995,6,0,22,0.2,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,4.09,0.0,4.09,4.09,4.09,0.17,0.0,0.17,0.17,0.17,MF,Ligue 1
Bryan Mbeumo,CMR,Brentford,23,1999,25,22,1960,21.8,9,6,15,6,3,3,2,0,9.8,7.4,4.6,12.1,74,88,195,0.41,0.28,0.69,0.28,0.55,0.45,0.21,0.66,0.34,0.55,FW,Premier League
Christ Mbondi,FRA,Reims,18,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,Ligue 1
Jordi Mboula,ESP,Hellas Verona,24,1999,11,5,307,3.4,0,1,1,0,0,0,0,0,0.2,0.2,0.4,0.6,10,4,22,0.0,0.29,0.29,0.0,0.29,0.06,0.11,0.17,0.06,0.17,FW,Serie A
Nathanael Mbuku,FRA,Augsburg,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.56,0.69,1.25,0.56,1.25,FW,Bundesliga
James Mcatee,ENG,Sheffield Utd,20,2002,30,20,1822,20.2,3,3,6,2,1,1,2,0,3.1,2.3,2.9,5.2,55,51,110,0.15,0.15,0.3,0.1,0.25,0.15,0.15,0.3,0.11,0.26,MF,Premier League
James Mcatee,ENG,Manchester City,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Premier League
Oliver McBurnie,SCO,Sheffield Utd,27,1996,21,15,1280,14.2,6,3,9,4,2,2,7,2,6.9,5.3,2.0,7.3,6,30,60,0.42,0.21,0.63,0.28,0.49,0.48,0.14,0.62,0.37,0.51,FW,Premier League
James McConnell,ENG,Liverpool,18,2004,3,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Premier League
John McGinn,SCO,Aston Villa,28,1994,35,35,2999,33.3,6,4,10,6,0,0,9,1,5.0,5.0,4.6,9.6,59,189,84,0.18,0.12,0.3,0.18,0.3,0.15,0.14,0.29,0.15,0.29,MF,Premier League
Scott McKenna,SCO,Nott'ham Forest,26,1996,5,5,416,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,10,0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.08,0.05,0.08,DF,Premier League
Weston McKennie,USA,Juventus,24,1998,34,29,2594,28.8,0,7,7,0,0,0,6,0,3.0,3.0,3.9,6.9,64,92,176,0.0,0.24,0.24,0.0,0.24,0.1,0.13,0.24,0.1,0.24,MF,Serie A
Dwight McNeil,ENG,Everton,23,1999,35,33,2892,32.1,3,6,9,3,0,0,2,0,3.4,3.4,8.8,12.2,80,114,147,0.09,0.19,0.28,0.09,0.28,0.11,0.27,0.38,0.11,0.38,MF,Premier League
Scott McTominay,SCO,Manchester Utd,26,1996,32,18,1901,21.1,7,1,8,7,0,0,2,0,5.7,5.7,0.8,6.6,29,64,47,0.33,0.05,0.38,0.33,0.38,0.27,0.04,0.31,0.27,0.31,MF,Premier League
Facundo Medina,ARG,Lens,24,1999,31,30,2714,30.2,1,3,4,1,0,0,11,0,1.1,1.1,1.8,2.9,51,219,20,0.03,0.1,0.13,0.03,0.13,0.04,0.06,0.1,0.04,0.1,DF,Ligue 1
Ben Mee,ENG,Brentford,33,1989,16,15,1272,14.1,2,0,2,2,0,0,1,1,1.5,1.5,0.3,1.8,11,49,9,0.14,0.0,0.14,0.14,0.14,0.1,0.02,0.13,0.1,0.13,DF,Premier League
